255.22,257.63,253.05,253.23
250.86,252.81,246.54,252.44
254.74,255.99,248.25,250.19
248.75,255.48,248.1,253.21
251.58,252.74,247.01,251.35
249.75,252.1,246.8,248.69
245.95,261.96,245.18,261.54
261.56,266.45,254.75,256.9
255.99,256.7,245.86,248.95
250.35,253.13,245.53,249.63
248.8,249.27,243.04,245.8
242.75,248.95,241.68,248.35
249.25,254.63,249,252.97
252.51,252.57,245.12,246.95
248.33,253.66,246.64,252.29
244.24,246.8,237.22,243.32
241.69,245.21,238.5,243.87
247.31,248.82,245.97,248.45
248.36,250.9,248.2,249.9
251.25,254.32,249.53,250.34
249.71,250.3,245.73,246.21
246.27,247.57,242.07,244
242.74,250.89,242.49,248.66
248.03,250.62,243.49,250.34
248.22,252.79,247.23,249.98
242.71,250.61,242.53,243.49
238,240.16,226.88,227.48
219.24,232.29,214.5,225.78
232.56,233.05,217.28,221.03
217.12,236.3,215.16,235.31
231,232.57,222.02,229.55
229.72,237.58,227.51,235.48
239.77,241.77,236.73,239.06
239.55,241.53,238.27,240.7
240.28,243.3,235.89,238.57
239.68,241.78,237.4,238.81
238.07,240.81,232.93,236.22
238.5,242.64,238.02,240.9
246,249.34,243.66,245.48
231.18,232.78,224.44,229.33
228.95,233.36,226.32,232.41
232.86,236.63,232.07,236.16
237,239.98,236.14,239.39
236.73,242.47,234.34,241.82
241.44,242.37,237.95,239.66
243.13,245.69,241.33,245.55
243.74,249.8,243.64,249.18
247.76,250.19,246.11,249.12
249.45,254.47,248.83,253.37
255,256.52,253.25,254.14
252.51,253,247.64,249.2
252.5,253.81,244.65,253.69
254.43,259.58,252.88,258.59
257.6,260.55,256.22,257.82
259.01,267.43,258.61,266.68
266.35,267.98,264.59,266.76
265.45,269.14,265.08,268.41
267.4,269.28,265.62,266.95
264.97,265.65,260.41,260.87
260.77,261.27,257.91,258.37
258.58,259.87,255.79,258.63
261,263.79,259.63,263.23
263.16,265,259.94,260.24
260.75,261.13,256.77,258.69
258.75,260.12,257.1,259.06
257.85,263.98,257.22,263.9
263.35,265.56,262.58,265.2
264.9,267,264.79,265.52
265.2,267.51,265.1,266.86
267.99,270.17,267.53,268.87
268.1,273.47,266.71,272.08
273.19,277.47,272.56,276.24
276.7,281.75,275.11,281.52
281.53,283.06,279.83,281.03
278.21,279.84,275.83,277.22
279.31,284.5,278.67,281.83
281.15,284.79,281,283.05
285,286.91,282.94,283.21
279.28,284.12,277.2,280.97
281.65,289.58,280.21,289.18
290.46,294.34,288.41,293.79
294.49,296.16,289.5,291.06
